/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/text
1,1,1:0,,,千呼万唤始出来，
1,1,1:1,,,尼康的APSC小相机终于发布了，
1,1,1:2,,,COOLPIX A. 你怎么看呢？
1,1,1:3,,,我看，尼康是挤牙膏挤惯了啊，
1,1,1:4,CAMERA#DESIGN_FEATURES,negative,1，外观既没有V1时尚，
1,1,1:5,CAMERA#OPERATION_PERFORMANCE,negative,也没P7100专业，
1,1,1:6,,,反而类似P系列。
1,1,1:7,HARDWARE#USABILITY,negative,2，CMOS炒冷饭。
1,1,1:8,SOFTWARE#DESIGN_FEATURES,negative,3，OVF没有任何提示和显示。
1,1,1:9,,,（除了框框)
1,1,1:10,LENS#GENERAL,positive,4，28MM镜头是不错，
1,1,1:11,LENS#OPERATION_PERFORMANCE,negative,可是F2.8定焦也太小气了。
1,1,1:12,BATTERY#QUALITY,negative,5，电池坑爹，
1,1,1:13,,,用D800和V1的电池很难吗？
1,1,1:14,,,6，考虑到1100美元的定价，
1,1,1:15,,,富士X100S表示很欢乐。
1,1,1:16,,,***好处是，
1,1,1:17,,,可以确定，
1,1,1:18,CAMERA#PORTABILITY,positive,尼康会继续大力发展1系列了***另外体积比X100S小也算是A的优势吧***。
1,1,1:19,,,等2014年年中跌倒1900左右的时候就可以入手了。
2,2,2:0,,,进xe之前知道有一部m8.2才万元左右，
2,2,2:1,,,十分心动。
2,2,2:2,,,都拿在手中了才突然醒悟，
2,2,2:3,PHOTO#QUALITY,positive,色彩fuji未必比leica差，
2,2,2:4,,,结实耐用在数码时代已经不那么重要了，
2,2,2:5,,,"所以拿xe,"
2,2,2:6,,,还能多买只老头玩。
3,3,3:0,,,二选一：
3,3,3:1,,,富士X-Pro1+18mmF2和徕卡X？
3,3,3:2,PHOTO#QUALITY,positive,玩过的小机器里面感觉成像最好的还是适马的DP系列，
3,3,3:3,CAMERA#QUALITY,negative,可是它的机械性能又实在是不好，
3,3,3:4,FOCUS#OPERATION_PERFORMANCE,negative,对焦叽叽的叫声让你觉得随时要坏。
3,3,3:5,PHOTO#QUALITY,negative,NEX5C玩了半年就出掉了主要是边缘成像太差色散严重，
3,3,3:6,PHOTO#QUALITY,negative,NEX5C玩了半年就出掉了主要是边缘成像太差色散严重，
3,3,3:7,FOCUS#OPERATION_PERFORMANCE,negative,用转接要好很多但又没有了自动对焦。
3,3,3:8,,,徕卡X2出来后我是成都第一批购买的。
3,3,3:9,CAMERA#DESIGN_FEATURES,positive,它的做工确实精湛镜头也很漂亮就是一件工艺品，
3,3,3:10,LENS#GENERAL,positive,它的做工确实精湛镜头也很漂亮就是一件工艺品，
3,3,3:11,PHOTO#QUALITY,positive,在实际使用中发现暗光近景不错有一些独特的味道，
3,3,3:12,PHOTO#QUALITY,negative,但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小，
3,3,3:13,PHOTO#QUALITY,negative,但是阳光下的远景分辨率说句不好听的就像手机拍的一样而且紫边也不小，
3,3,3:14,,,当然徕卡是神物用的不好主要还是我的水平差。
3,3,3:15,,,出掉x2已经是11月了成都天气一直不太好DP这阳光机也暂时没用。
3,3,3:16,,,12月陪朋友去买尼康D800时看到了富士的XE1就叫老板拿来玩一下，
3,3,3:17,PHOTO#QUALITY,positive,结果大吃一惊它的高感在1600时居然和我的D700差不多，
3,3,3:18,PHOTO#QUALITY,positive,因为吃过X2的亏又拿到店外试了一下远景不错加了个35/1.4立马拿下现在使用了一段时间非常满意。
3,3,3:19,,,关于X2在多说两句，
3,3,3:20,HARDWARE#DESIGN_FEATURES,positive,按说徕卡的镜头毋庸置疑那块索尼1600万像素传感器也很不错，
3,3,3:21,SOFTWARE#OPERATION_PERFORMANCE,negative,窃以为还是徕卡的软件功底差了。
4,4,4:0,,,不得不说：
4,4,4:1,CAMERA#DESIGN_FEATURES,negative,尼康的工业设计真是倒退了三十年！
4,4,4:2,,,看看这都是些啥垃圾！
4,4,4:3,,,不光新出的无反相机丑得很，
4,4,4:4,,,远赶不上富士X100，
4,4,4:5,,,连新出的80-400也赶不上上一代产品！
4,4,4:6,,,我们要问，
4,4,4:7,CAMERA#DESIGN_FEATURES,negative,尼康的工业设计到底怎么了？
4,4,4:8,,,难道连一点设计灵感都没有了吗？
4,4,4:9,,,说老实话，
4,4,4:10,,,真的连三十年前的产品的水平都没有了啊！
4,4,4:11,,,看看F3，
4,4,4:12,,,F4，
4,4,4:13,,,甚至FM2，
4,4,4:14,,,看看第一二代80200，
4,4,4:15,,,都比现在的产品漂亮10倍！
5,5,5:0,CAMERA#DESIGN_FEATURES,negative,虽说不太认同感动家的机身设计，
5,5,5:1,LENS#DESIGN_FEATURES,positive,但感动的镜头的确是一流的外观！
5,5,5:2,,,同样是意大利设计师的作品，
5,5,5:3,,,感动在镜头上，
5,5,5:4,,,绝对不会在最前端的2~3厘米处突然收缩镜筒，
5,5,5:5,,,而是平稳过渡，
5,5,5:6,,,就这点，
5,5,5:7,,,感动就符合大多数人的审美观点。
5,5,5:8,,,而尼康自从出了“竹炮”以后，
5,5,5:9,,,却经常在镜筒的最前端2~3厘米处无缘无故的突然收缩镜筒，
5,5,5:10,,,难道真要节约那么几克材料吗？
5,5,5:11,,,殊不知就是这一哆嗦，一下子就变得丑陋多了！
6,6,6:0,CAMERA#DESIGN_FEATURES,positive,D4外形设计真的很成功
6,6,6:1,,,不知道楼主摸没摸过D4真机
6,6,6:2,CAMERA#DESIGN_FEATURES,positive,非常成功的设计
6,6,6:3,,,本以为D3系列很难超越了
6,6,6:4,CAMERA#DESIGN_FEATURES,positive,但是D4的流线风格显然不比D3差
6,6,6:5,CAMERA#GENERAL,positive,在整体感上还更胜一筹
7,7,7:0,,,DX DC还好啦，
7,7,7:1,,,新80400真是有点拿不出手，
7,7,7:2,LENS#DESIGN_FEATURES,negative,感觉镜筒的设计是很随便的没有用心，
7,7,7:3,,,把VR放到脚架环那一节去，
7,7,7:4,,,口径做大一点点，
7,7,7:5,,,金圈下面那一节弄个DZP那样的防滑橡胶套上，
7,7,7:6,,,不就好看多了？
7,7,7:7,LENS#DESIGN_FEATURES,negative,现在这个样子怎么看怎么像镜头长倒过来似的。
8,8,8:0,,,CoolpixA 的样子见仁见智了，
8,8,8:1,,,我觉得肯定不算好看，
8,8,8:2,,,但也不丑，
8,8,8:3,,,算是有尼康的风格吧，
8,8,8:4,,,至少比一系好看。
8,8,8:5,,,而且优点是28mm，
8,8,8:6,,,35的选择已经有了，
8,8,8:7,,,出个28的给大家多点选择。
8,8,8:8,,,f2.8个人认为略微欠缺，
8,8,8:9,,,f2就完美了，
8,8,8:10,,,不过考虑到size做的那么小，
8,8,8:11,,,也是可以原谅的。
8,8,8:12,HARDWARE#DESIGN_FEATURES,negative,我最不满的应该是没有EVF，
8,8,8:13,,,这毕竟是趋势，
8,8,8:14,,,而且都1100刀了，
8,8,8:15,,,扔进去个EVF也不算过分吧。
9,9,9:0,,,尼康也没差哪去。
9,9,9:1,,,富士是抱着复古，
9,9,9:2,CAMERA#DESIGN_FEATURES,negative,不能说明它设计有多好。
9,9,9:3,,,富士的卡片，
9,9,9:4,,,也是丑的要死。
9,9,9:5,CAMERA#DESIGN_FEATURES,positive,尼康工业设计还行，
9,9,9:6,,,东西至少耐看。
9,9,9:7,,,比如V1，
9,9,9:8,,,刚看觉得丑的要死。
9,9,9:9,,,看多了，
9,9,9:10,,,还很顺眼。
9,9,9:11,,,索尼奶3、5系，
9,9,9:12,,,怎么看，
9,9,9:13,,,看多久，
9,9,9:14,,,就觉得丑。
9,9,9:15,,,还有，
9,9,9:16,,,尼康的产品，
9,9,9:17,,,拿在手里看，
9,9,9:18,,,比看照片帅一点，
9,9,9:19,,,最明显的例子就是D4。
10,10,10:0,,,RX1入手两个多月，
10,10,10:1,,,自认为对它已经有了一定的了解。
10,10,10:2,,,先说一下我认为的缺点，
10,10,10:3,,,希望有索尼公司的人路过，
10,10,10:4,,,反映给设计部门，
10,10,10:5,,,作为参考。
10,10,10:6,CAMERA#QUALITY,negative,1、电池太渣。
10,10,10:7,,,我两块电池（一块原电，一块品胜），
10,10,10:8,,,在北方零下十几度的气温下，
10,10,10:9,,,轮换着用，
10,10,10:10,,,直到电量用尽开不了机，
10,10,10:11,,,不到两个小时。
10,10,10:12,,,错失很多想拍的镜头，
10,10,10:13,,,差点儿让我崩溃。
10,10,10:14,,,（因为我用过佳能的5d，60d，
10,10,10:15,,,它们的LP-E6电池，
10,10,10:16,,,这种气温下一块原装电池随便用个3、4天没问题。
10,10,10:17,,,我买了移动电源，
10,10,10:18,CAMERA#PORTABILITY,negative,但是外挂电源毕竟影会影响RX1的便携性。
10,10,10:19,FOCUS#OPERATION_PERFORMANCE,negative,2、对焦慢。
10,10,10:20,,,这个很多人都在说，
10,10,10:21,,,我基本上能接受，
10,10,10:22,,,这个和对焦方式及镜头的重量都有关系。
10,10,10:23,FOCUS#OPERATION_PERFORMANCE,negative,就是对焦前先来回抽一下让人蛋疼。
10,10,10:24,,,既然收购了奥巴，
10,10,10:25,,,借鉴一下奥巴的对焦技术应该也有可能。
10,10,10:26,,,也许不久的将来可以通过固件就能升级。
10,10,10:27,,,3、持握感。
10,10,10:28,,,有手柄据更好了，
