/Reviews,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/text
79,1,79:0,,1,,,Being a PC user my whole life....
79,1,79:1,,2,LAPTOP#GENERAL,positive,This computer is absolutely AMAZING!!!
79,1,79:2,,3,BATTERY#OPERATION_PERFORMANCE,positive,10 plus hours of battery...
79,1,79:3,,4,CPU#OPERATION_PERFORMANCE,positive,super fast processor and really nice graphics card..
79,1,79:3,,4,GRAPHICS#GENERAL,positive,super fast processor and really nice graphics card..
79,1,79:4,,5,HARD_DISC#DESIGN_FEATURES,positive,and plenty of storage with 250 gb(though I will upgrade this and the ram..)
79,1,79:5,,6,LAPTOP#OPERATION_PERFORMANCE,positive,This computer is really fast and I'm shocked as to how easy it is to get used to...
79,1,79:5,,6,LAPTOP#USABILITY,positive,This computer is really fast and I'm shocked as to how easy it is to get used to...
79,1,79:6,,7,LAPTOP#USABILITY,positive,I've only had mine a day but I'm already used to it...
79,1,79:7,TRUE,8,,,MACS ARE AMAZING!!!
79,1,79:8,,9,LAPTOP#PORTABILITY,positive,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!
79,1,79:8,,9,CPU#OPERATION_PERFORMANCE,positive,GET THIS COMPUTER FOR PORTABILITY AND FAST PROCESSING!!!
10,2,10:0,,10,LAPTOP#GENERAL,positive,the laptop was really good and it goes really fast just the way i thought it would of run.
10,2,10:0,,10,LAPTOP#OPERATION_PERFORMANCE,positive,the laptop was really good and it goes really fast just the way i thought it would of run.
10,2,10:1,,11,LAPTOP#GENERAL,positive,i would really recommend to any person out there to get this laptop cause its really worth it.
10,2,10:2,,12,LAPTOP#PRICE,positive,and its really cheap and you wont regret buying it.
10,2,10:2,,12,LAPTOP#GENERAL,positive,and its really cheap and you wont regret buying it.
264,3,264:0,TRUE,13,,,"As a lifelong Windows user, I was extremely pleased to make the change to Mac."
264,3,264:1,,14,LAPTOP#PORTABILITY,positive,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
264,3,264:1,,14,LAPTOP#QUALITY,positive,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
264,3,264:1,,14,LAPTOP#USABILITY,positive,"As a computer science student in college, I find that the portability, longevity, and ease of use of this computer make me (shockingly) want to do homework more;"
264,3,264:2,,15,LAPTOP#DESIGN_FEATURES,positive,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere."
264,3,264:2,,15,LAPTOP#PORTABILITY,positive,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere."
264,3,264:2,,15,LAPTOP#MISCELLANEOUS,positive,"without a big ol' clunky machine in my backpack, I feel like I can do programming homework anywhere."
264,3,264:3,,16,LAPTOP#MISCELLANEOUS,positive,I highly recommend this computer for students looking for a solid machine to get them through college.
264,3,264:3,,16,LAPTOP#QUALITY,positive,I highly recommend this computer for students looking for a solid machine to get them through college.
264,3,264:4,,17,OS#DESIGN_FEATURES,positive,"A great feature is the spotlight search: one can search for documents by simply typing a keyword, rather than parsing tens of file folders for a document."
24,4,24:0,,18,LAPTOP#GENERAL,negative,Oh my goodness-I am not a happy camper.
24,4,24:1,,19,LAPTOP#DESIGN_FEATURES,negative,My HP is very heavy.
24,4,24:2,,20,LAPTOP#PORTABILITY,negative,Not easy to carry.
24,4,24:3,,21,BATTERY#QUALITY,negative,The battery has never worked well.
24,4,24:3,,21,BATTERY#OPERATION_PERFORMANCE,negative,The battery has never worked well.
24,4,24:4,,22,BATTERY#QUALITY,negative,The battery gets so HOT it is scary.
24,4,24:5,,23,SUPPORT#QUALITY,negative,"Yet, HP won't do anything about the problem."
24,4,24:6,,24,SUPPORT#QUALITY,negative,I returned the computer to HP and they kept it for 3 months.
24,4,24:7,,25,SUPPORT#QUALITY,negative,When I got the computer back and realizwed it still was not correct HP told me it was out of warranty and now it was my problem.
24,4,24:8,,26,LAPTOP#GENERAL,negative,"So, you can imagine how unhappy I am with this item."
24,4,24:9,,27,LAPTOP#QUALITY,negative,Currently if I use the laptop I can't sit it on my lap because it will burn my legs.
24,4,24:10,,28,,,I did contact HP and share how unhappy I am.
24,4,24:11,,29,SUPPORT#QUALITY,negative,"Well, they don't care a bunch."
24,4,24:12,,30,SUPPORT#QUALITY,negative,"But, at the same time they (the company) would not and could not do anything about my problem."
24,4,24:13,,31,LAPTOP#GENERAL,negative,I would  say if you want to buy one of these machines be careful.
24,4,24:14,,32,COMPANY#GENERAL,negative,"And, if you are going to deal with HP be careful."
24,4,24:15,,33,COMPANY#GENERAL,negative,"In my house, HP is a nasty word."
277,5,277:0,,34,LAPTOP#GENERAL,positive,"Since I purchased my Toshiba netbook, I have been very pleased with it, I have a laptob and a desktop."
277,5,277:1,,35,LAPTOP#PORTABILITY,positive,The netbook is easier for me to take to bed and carry around with me.
277,5,277:2,,36,DISPLAY#USABILITY,neutral,"The screen takes some getting use to, because it is smaller than the laptop."
277,5,277:2,,36,DISPLAY#DESIGN_FEATURES,neutral,"The screen takes some getting use to, because it is smaller than the laptop."
277,5,277:3,,37,LAPTOP#GENERAL,positive,I have not have any problems.
178,6,178:0,,38,LAPTOP#GENERAL,positive,"The Notebook PC,Toshiba Qosmio is the best gift my father could have ever gotten me."
178,6,178:1,,39,LAPTOP#QUALITY,positive,He gave me this PC about 3 years ago and up to this point im still sitting here using it.
178,6,178:2,,40,LAPTOP#QUALITY,positive,Its still going.
178,6,178:3,,41,LAPTOP#QUALITY,positive,It is in the best condition and has a really high quality.
178,6,178:4,,42,LAPTOP#GENERAL,positive,This is something i would deffinately reccomend to someone.
178,6,178:5,,43,LAPTOP#GENERAL,positive,You will not regret buying such a great thing like this!
178,6,178:6,,44,LAPTOP#GENERAL,positive,It can't get any better.
77,7,77:0,,45,LAPTOP#GENERAL,positive,"Waited on getting this computer, but it has been a great change."
77,7,77:1,,46,LAPTOP#USABILITY,positive,Ease of use is just one of the benefits I love about my Mac.
342,8,342:0,,47,LAPTOP#GENERAL,positive,This laptop meets every expectation and Windows 7 is great!
342,8,342:0,,47,OS#GENERAL,positive,This laptop meets every expectation and Windows 7 is great!
342,8,342:1,,48,LAPTOP#OPERATION_PERFORMANCE,positive,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network."
342,8,342:1,,48,LAPTOP#USABILITY,positive,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network."
342,8,342:1,,48,LAPTOP#CONNECTIVITY,positive,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network."
342,8,342:2,,49,LAPTOP#CONNECTIVITY,positive,It's even easy to hook up to other wireless networks.
342,8,342:3,,50,BATTERY#OPERATION_PERFORMANCE,neutral,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.
342,8,342:4,,51,BATTERY#OPERATION_PERFORMANCE,positive,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.
348,9,348:0,,52,LAPTOP#GENERAL,positive,"Most everything is fine with this machine: speed, capacity, build."
348,9,348:0,,52,LAPTOP#OPERATION_PERFORMANCE,positive,"Most everything is fine with this machine: speed, capacity, build."
348,9,348:0,,52,HARD_DISC#DESIGN_FEATURES,positive,"Most everything is fine with this machine: speed, capacity, build."
