/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/text
1,1,1:0,,,最近买了NEX5N，
1,1,1:1,CAMERA#USABILITY,positive,用下来的感觉真的很方便。
1,1,1:2,PHOTO#QUALITY,neutral,画质反正我在电脑上全屏看不出什么不好。
1,1,1:3,PHOTO#QUALITY,positive,颜色也很讨好，
1,1,1:4,CAMERA#OPERATION_PERFORMANCE,negative,除了操控方面要换模式比较讨厌之外，
1,1,1:5,CAMERA#GENERAL,positive,实在看不出有什么不好的。
1,1,1:6,CAMERA#GENERAL,positive,日常拍照足够用了。
2,2,2:0,,,120-300/2.8 HSM OS的外观已经有了很大变化，
2,2,2:1,DISPLAY#QUALITY,positive,特别是表面喷漆工艺不再向以前那样让人担心，
2,2,2:2,DISPLAY#QUALITY,positive,掉皮现象以及上手旧的问题已经明显改观。
2,2,2:3,,,我去肯尼来几天，
2,2,2:4,CAMERA#GENERAL,positive,在宾馆里面轻擦拭了一下就像新的一样了，
2,2,2:5,LENS#GENERAL,positive,对于适马镜头自来旧的感觉看来可以修正了。
2,2,2:6,LENS#DESIGN_FEATURES,negative,但是镜头盖盖不严，
2,2,2:7,LENS#DESIGN_FEATURES,negative,轻微的触碰这个盖很容量掉下来。
2,2,2:8,PHOTO#QUALITY,positive,画质表现应该是不错的。
2,2,2:9,,,如果分辨率不足，那往往是拍摄距离与空气的原因。
3,3,3:0,,,周六参加了站方组织的在798艺术园区试用佳能G11数码相机活动。
3,3,3:1,CAMERA#GENERAL,positive,"小机器拿到手后首先感觉很精致,"
3,3,3:2,,,通过使用感受如下：
3,3,3:3,CAMERA#QUALITY,positive,1．做工精细，
3,3,3:4,CAMERA#GENERAL,positive,拿在手里令人有拍摄的欲望。
3,3,3:5,DISPLAY#DESIGN_FEATURES,positive,"2．反转屏的设计很好用且方便构图,"
3,3,3:6,CAMERA#OPERATION_PERFORMANCE,positive,开机速度快，
3,3,3:7,HARDWARE#QUALITY,positive,快门时滞短，
3,3,3:8,CAMERA#USABILITY,positive,"操作简单方便,"
3,3,3:9,,,"比如感光度拨盘,加减曝光拨盘等等。"
3,3,3:10,SOFTWARE#USABILITY,positive,"3．菜单使用起来方便快捷,"
3,3,3:11,SOFTWARE#DESIGN_FEATURES,positive,拍摄模式很齐全，
3,3,3:12,,,包括程序、光圈优先、快门优先、手动等等。
3,3,3:13,PHOTO#QUALITY,positive,4．色彩饱满，
3,3,3:14,LENS#QUALITY,positive,还原准确。
3,3,3:15,PHOTO#QUALITY,positive,"5．高感光度成像质量很好,"
3,3,3:16,HARDWARE#QUALITY,positive,双重降噪功能明显。
3,3,3:17,LENS#QUALITY,negative,1．广角端不足，
3,3,3:18,LENS#QUALITY,negative,最大光圈有限，
3,3,3:19,CAMERA#DESIGN_FEATURES,negative,2．有些键在拍摄时很容易碰到。
3,3,3:20,CAMERA#GENERAL,positive,G11是一款综合素质不错的便携式消费级数码相机，
3,3,3:21,CAMERA#PORTABILITY,positive,方便平时随身携带，
3,3,3:22,CAMERA#GENERAL,positive,作为外拍时的备机也是不错的选择。
