/Reviews,,,,,,,,,
/@slot1,/@slot12,/@slot2,/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/text
u,u,u,Huawei_Ascend_G6_4G_4,1,Huawei_Ascend_G6_4G_4:1,1,BATTERY#OPERATION_PERFORMANCE,positive,"Ik zou deze gsm ten sterkste aanbevelen ik was lang aan het twijfelen of ik hem zou kopen maar zeker geen spijt van, tot nu toe heb ik nog geen minpunten gemerkt en de accu gaat ook lang mee."
u,u,u,Huawei_Ascend_G6_4G_4,1,Huawei_Ascend_G6_4G_4:1,1,PHONE#GENERAL,positive,"Ik zou deze gsm ten sterkste aanbevelen ik was lang aan het twijfelen of ik hem zou kopen maar zeker geen spijt van, tot nu toe heb ik nog geen minpunten gemerkt en de accu gaat ook lang mee."
u,u,u,Huawei_Ascend_G6_4G_4,1,Huawei_Ascend_G6_4G_4:2,2,SHIPPING#QUALITY,positive,en ook een dikke duim voor de service van bol.com op vrijdag besteld en zaterdag al in huis.
u,u,u,Huawei_Ascend_G6_4G_4,1,Huawei_Ascend_G6_4G_4:3,3,PHONE#GENERAL,positive,Toppie!
u,u,u,Huawei_Ascend_G6_4G_4,1,Huawei_Ascend_G6_4G_4:4,4,PHONE#GENERAL,positive,een aanrader!
u,u,u,HTC_Desire_510_2,2,HTC_Desire_510_2:1,5,MULTIMEDIA_DEVICES#USABILITY,neutral,"Een paar dagen gebruik ik nu dit toestel als opvolger van mijn HTC One X en ik ben zeer onder de indruk, mooi beeld, goed geluid, prima interface, alleen het gebruik van de camera is even wennen."
u,u,u,HTC_Desire_510_2,2,HTC_Desire_510_2:1,5,MULTIMEDIA_DEVICES#QUALITY,positive,"Een paar dagen gebruik ik nu dit toestel als opvolger van mijn HTC One X en ik ben zeer onder de indruk, mooi beeld, goed geluid, prima interface, alleen het gebruik van de camera is even wennen."
u,u,u,HTC_Desire_510_2,2,HTC_Desire_510_2:1,5,OS#GENERAL,positive,"Een paar dagen gebruik ik nu dit toestel als opvolger van mijn HTC One X en ik ben zeer onder de indruk, mooi beeld, goed geluid, prima interface, alleen het gebruik van de camera is even wennen."
u,u,u,HTC_Desire_510_2,2,HTC_Desire_510_2:1,5,DISPLAY#QUALITY,positive,"Een paar dagen gebruik ik nu dit toestel als opvolger van mijn HTC One X en ik ben zeer onder de indruk, mooi beeld, goed geluid, prima interface, alleen het gebruik van de camera is even wennen."
u,u,u,HTC_Desire_510_2,2,HTC_Desire_510_2:1,5,PHONE#GENERAL,positive,"Een paar dagen gebruik ik nu dit toestel als opvolger van mijn HTC One X en ik ben zeer onder de indruk, mooi beeld, goed geluid, prima interface, alleen het gebruik van de camera is even wennen."
u,u,u,HTC_Desire_510_2,2,HTC_Desire_510_2:2,6,PHONE#GENERAL,positive,Deze smartphone kan makkelijk concurreren met veel duurdere modellen.
u,u,u,Samsung_Galaxy_Note_3_1,3,Samsung_Galaxy_Note_3_1:1,7,BATTERY#OPERATION_PERFORMANCE,positive,"Echt een super telefoon, heb er erg veel plezier van, de batterij gat lang mee en je kunt er vanalles mee doen."
u,u,u,Samsung_Galaxy_Note_3_1,3,Samsung_Galaxy_Note_3_1:1,7,PHONE#GENERAL,positive,"Echt een super telefoon, heb er erg veel plezier van, de batterij gat lang mee en je kunt er vanalles mee doen."
u,u,u,Samsung_Galaxy_Note_3_1,3,Samsung_Galaxy_Note_3_1:2,8,PHONE#GENERAL,positive,"Ik heb er op school ook er veel plezier van, gebruik m namelijk soms als laptop"
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:1,9,,,"Deze smartphone gekocht, omdat ik overstapte naar een simonly en de budgetmodels van nu zouden net zo goed mee moeten kunnen als de eerste smartphones van paar jaar terug."
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:2,10,PHONE#QUALITY,negative,Niet dus.
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:3,11,PHONE#QUALITY,negative,Ik heb dit toestel gekocht ergens in juli 2014 ben nu bijna 1 jaar verder en het toestel is al 2x terug gegaan naar bol.com & sony.
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:4,12,PHONE#GENERAL,negative,"Eerst de uitknop die het soms niet deed, en later het beeld wat steeds bevriest of superrr traag."
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:4,12,DISPLAY#OPERATION_PERFORMANCE,negative,"Eerst de uitknop die het soms niet deed, en later het beeld wat steeds bevriest of superrr traag."
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:4,12,KEYBOARD#GENERAL,negative,"Eerst de uitknop die het soms niet deed, en later het beeld wat steeds bevriest of superrr traag."
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:5,13,PHONE#QUALITY,negative,"toen deed hij het weer voor 2 maanden, complete uitval."
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:6,14,,,"Scherm is vervangen, en nog een zooi van binnen, hele waslijst in ieder geval."
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:7,15,DISPLAY#OPERATION_PERFORMANCE,negative,Nu heb ik hem weer en we zijn wat updates verder maar sommige programmas werken niet zoals hij zou moeten werken en soms bevriest het scherm weer.
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:7,15,SOFTWARE#OPERATION_PERFORMANCE,negative,Nu heb ik hem weer en we zijn wat updates verder maar sommige programmas werken niet zoals hij zou moeten werken en soms bevriest het scherm weer.
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:8,16,PHONE#QUALITY,negative,Voor bol.com klasse voor de snelle handelingen.. maar ik heb eigenlijk een slecht toestel gekocht en vraag me af met wat er allemaal vervangen is of het niet goedkoper was geweest om een nieuw toestel te sturen of een ander vergelijkbaar toestel (prijsklasse).
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:8,16,COMPANY#GENERAL,positive,Voor bol.com klasse voor de snelle handelingen.. maar ik heb eigenlijk een slecht toestel gekocht en vraag me af met wat er allemaal vervangen is of het niet goedkoper was geweest om een nieuw toestel te sturen of een ander vergelijkbaar toestel (prijsklasse).
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:9,17,PHONE#QUALITY,negative,In ieder geval heb ik toen 110 euro besteed aan een toestel wat tot de dag vandaag keuren heeft.
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:10,18,,,Even vergelijking met mijn vorige smartphone heb ik bijna 4 jaar lang gebeld enz. en toen nog door kunnen verkopen omdat hij in perfecte staat was.
u,u,u,Sony_Xperia_E1_4,4,Sony_Xperia_E1_4:11,19,,,Ik ben altijd zuinig op mijn spullen.
u,u,u,LG_G4_1,5,LG_G4_1:1,20,,,"Na de G2, kwam de G3 en nu ook gelijk de overstap, mits enige schrik voor de batterij, naar de G4 gemaakt."
u,u,u,LG_G4_1,5,LG_G4_1:2,21,PHONE#GENERAL,positive,SUPER tevreden over deze aankoop.
u,u,u,LG_G4_1,5,LG_G4_1:3,22,BATTERY#OPERATION_PERFORMANCE,positive,"De batterij is een plezier qua gebruik, gaat opnieuw een dag lang mee en neemt een pak frustraties weg!"
u,u,u,LG_G4_1,5,LG_G4_1:4,23,DISPLAY#QUALITY,positive,De lichtopbrengst van het scherm is waanzinnig en perfect aanpasbaar.
u,u,u,LG_G4_1,5,LG_G4_1:4,23,DISPLAY#USABILITY,positive,De lichtopbrengst van het scherm is waanzinnig en perfect aanpasbaar.
u,u,u,LG_G4_1,5,LG_G4_1:5,24,MULTIMEDIA_DEVICES#GENERAL,positive,De camera... wat een grandioos ding!
