/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/text
348,1,LAPTOP#GENERAL,positive,,
348,1,LAPTOP#OPERATION_PERFORMANCE,positive,,
348,1,HARD_DISC#DESIGN_FEATURES,positive,,
348,1,LAPTOP#QUALITY,positive,,
348,1,DISPLAY#QUALITY,negative,,
348,1,,,348:0,"Most everything is fine with this machine: speed, capacity, build."
348,1,,,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail."
348,1,,,348:2,"Yes, I have it on the highest available setting."
285,2,LAPTOP#DESIGN_FEATURES,positive,,
285,2,KEYBOARD#GENERAL,positive,,
285,2,LAPTOP#OPERATION_PERFORMANCE,positive,,
285,2,LAPTOP#GENERAL,positive,,
285,2,LAPTOP#USABILITY,positive,,
285,2,LAPTOP#QUALITY,positive,,
285,2,LAPTOP#PRICE,positive,,
285,2,,,285:0,"I love the size, keyboard, the functions."
285,2,,,285:1,I don't really have a complaint.
285,2,,,285:2,"It is easy to use, good quality and good price."
285,2,,,285:3,Perfect trifecta!
285,2,,,285:4,I would recommend this product.
337,3,LAPTOP#GENERAL,positive,,
337,3,LAPTOP#DESIGN_FEATURES,positive,,
337,3,COMPANY#GENERAL,positive,,
337,3,LAPTOP#USABILITY,negative,,
337,3,,,337:0,"I love this product because it is Toshiba and its 15.6""."
337,3,,,337:1,"It has no camera but, I can always buy and install one easy."
337,3,,,337:2,"I had a USB connect but, i can't use it because it is not compatible."
337,3,,,337:3,That's the downside for me.
337,3,,,337:4,"But, I would recommend this product."
54,4,LAPTOP#GENERAL,negative,,
54,4,LAPTOP#PRICE,negative,,
54,4,SUPPORT#QUALITY,negative,,
54,4,COMPANY#GENERAL,negative,,
54,4,,,54:0,I bought this laptop Was the worst Laptop I've ever bought.
54,4,,,54:1,I spent alot of money on this product and its been a nightmare.
54,4,,,54:2,And having to deal with the company has been a even worse nightmare.
54,4,,,54:3,I sent it to them to fix in perfect condition but for what was wrong with it.
