/Reviews,,,,,,,,,,,,,
/@slot1,/@slot12,/@slot2,/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
u,u,u,Review-g1006565-d2066794_1,1,Review-g1006565-d2066794_1:1,,1,SERVICE#GENERAL,6,negative,wachttijd,15,Lange wachttijd.
u,u,u,Review-g1006565-d2066794_1,1,Review-g1006565-d2066794_1:2,,2,FOOD#STYLE_OPTIONS,7,negative,dessert,14,"Zelfde dessert, 2 dagen na mekaar."
u,u,u,Review-g1006565-d2066794_1,1,Review-g1006565-d2066794_1:3,,3,FOOD#QUALITY,0,positive,ontbijtbuffet,13,Ontbijtbuffet was tip top in orde.
u,u,u,Review-g1006565-d2066794_1,1,Review-g1006565-d2066794_1:4,,4,RESTAURANT#PRICES,0,negative,NULL,0,Niet goedkoop!
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:1,,5,,,,,,Via via hadden we gehoord dat we hier moesten zijn voor Wagye runder vlees.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:2,,6,,,,,,Onze Gps was niet de beste reisleider om in Kasteel Altembrouck te geraken.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:3,,7,RESTAURANT#GENERAL,17,positive,kasteelrestaurant,34,Maar eens in het kasteelrestaurant aangekomen werd het een feest.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:4,,8,SERVICE#GENERAL,13,positive,bediening,22,"Vooreerst de bediening, uitzonderlijk vriendelijk attent niet geforceerd maar echt."
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:5,,9,SERVICE#GENERAL,30,positive,personeel,39,"Zelden meegemaakt, tussen het personeel was er een heerlijk plagende chemie."
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:6,,10,FOOD#STYLE_OPTIONS,43,negative,menus,48,Je hebt de keuze tussen een beperkt aantal menus.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:7,,11,,,,,,Specialisatie zijn de Wagye runderen.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:8,,12,SERVICE#GENERAL,0,positive,NULL,0,Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:8,,12,FOOD#QUALITY,38,positive,rundvlees,47,Als je uitleg vraagt over dit lekkere rundvlees wordt het vlees op voorhand op een bord aan je voorgesteld.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:9,,13,FOOD#QUALITY,0,positive,NULL,0,Goedkoop is het niet maar wel uitzonderlijk lekker.
u,u,u,Review-g1006565-d2066794_2,2,Review-g1006565-d2066794_2:9,,13,FOOD#PRICES,0,negative,NULL,0,Goedkoop is het niet maar wel uitzonderlijk lekker.
