/Reviews,,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
g1079435-d3498474-r271346275,1,g1079435-d3498474-r271346275:0,,1,SERVICE#GENERAL,3,neutral,service,10,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1079435-d3498474-r271346275,1,g1079435-d3498474-r271346275:0,,1,FOOD#QUALITY,27,negative,plats,32,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1079435-d3498474-r271346275,1,g1079435-d3498474-r271346275:0,,1,FOOD#QUALITY,47,negative,sauces,53,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1079435-d3498474-r271346275,1,g1079435-d3498474-r271346275:0,,1,RESTAURANT#PRICES,0,neutral,NULL,0,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1079435-d3498474-r271346275,1,g1079435-d3498474-r271346275:0,,1,FOOD#QUALITY,0,negative,NULL,0,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1079435-d3498474-r271346275,1,g1079435-d3498474-r271346275:0,,1,RESTAURANT#GENERAL,242,negative,resto,247,"Un service passable .. Des plats surcuits, des sauces figées dans leur pot (on se demande si elles n'étaient pas sur d'autres tables avant de nous être servies) , le prix est correct mais le goût n'est pas au rendez vous ... très déçu par ce resto"
g1080298-d1332050-r275655485,2,g1080298-d1332050-r275655485:0,,2,AMBIENCE#GENERAL,23,positive,ambiance,31,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service."
g1080298-d1332050-r275655485,2,g1080298-d1332050-r275655485:0,,2,LOCATION#GENERAL,40,positive,promenade,49,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service."
g1080298-d1332050-r275655485,2,g1080298-d1332050-r275655485:0,,2,SERVICE#GENERAL,97,positive,service,104,"Nous avons bien aimé l'ambiance, sur la promenade principale de Narbonne-Plage, et la qualité du service."
g1080298-d1332050-r275655485,2,g1080298-d1332050-r275655485:1,,3,RESTAURANT#GENERAL,0,positive,NULL,0,Nous reviendrons!
g1080298-d4701165-r281527562,3,g1080298-d4701165-r281527562:0,,4,SERVICE#GENERAL,24,negative,attente,31,"on s'attendait à mieux (attente, qualité moyenne)."
g1080298-d4701165-r281527562,3,g1080298-d4701165-r281527562:0,,4,FOOD#QUALITY,0,negative,NULL,0,"on s'attendait à mieux (attente, qualité moyenne)."
g1080298-d4701165-r281527562,3,g1080298-d4701165-r281527562:1,,5,RESTAURANT#GENERAL,0,neutral,NULL,0,"Pas mal, mais sans plus."
g1080298-d4701165-r281527562,3,g1080298-d4701165-r281527562:2,,6,RESTAURANT#GENERAL,0,negative,NULL,0,Nous ne pensons pas y retourner
g1080298-d4701165-r281527562,3,g1080298-d4701165-r281527562:3,,7,,,,,,
g1080559-d3686505-r151173923,4,g1080559-d3686505-r151173923:0,,8,RESTAURANT#GENERAL,4,positive,adresse,11,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire
g1080559-d3686505-r151173923,4,g1080559-d3686505-r151173923:0,,8,LOCATION#GENERAL,30,positive,vue,33,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire
g1080559-d3686505-r151173923,4,g1080559-d3686505-r151173923:0,,8,FOOD#QUALITY,124,positive,cuisine,131,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire
g1080559-d3686505-r151173923,4,g1080559-d3686505-r151173923:0,,8,SERVICE#GENERAL,155,positive,service,162,Une adresse à garder pour soi vue imprenable sur l hippodrome et le golf pensez à réserver en bas près des baies vitrées la cuisine et bonne et en plus le service est avec le sourire
g1080574-d1337519-r211045323,5,g1080574-d1337519-r211045323:0,,9,SERVICE#GENERAL,0,negative,NULL,0,"Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables."
g1080574-d1337519-r211045323,5,g1080574-d1337519-r211045323:1,,10,,,,,,"Bref, passons ...."
