/Reviews,,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
27925,1,27925:0,,1,,,,,,Добрый час суток.
27925,1,27925:1,,2,,,,,,Меня зовут Влада!
27925,1,27925:2,,3,,,,,,Я со своим молодым человеком и пару его друзей отмечали день рожденье буквально на днях в этом ресторане.
27925,1,27925:3,,4,SERVICE#GENERAL,0,positive,Обслуживание,12,Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.
27925,1,27925:3,,4,SERVICE#GENERAL,34,positive,метрдотель,44,Обслуживание хорошее нас встретил метрдотель и провёл до столика который отлично нам подашел.
27925,1,27925:4,,5,AMBIENCE#GENERAL,16,positive,уголке,22,"Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!"
27925,1,27925:4,,5,AMBIENCE#GENERAL,46,positive,приглушенный свет,63,"Он был в уютном уголке в конце главного зала, приглушенный свет это основная часть этого ресторана там нет дневного освещения это было большим плюсом для нашего дня рожденья!"
27925,1,27925:5,,6,,,,,,"Просто мы пришли днем часиков в четыре, так что вечер приятно продлился…..."
27925,1,27925:6,,7,FOOD#QUALITY,53,positive,блюд,57,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!"
27925,1,27925:6,,7,FOOD#PRICES,75,positive,улитки,81,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!"
27925,1,27925:6,,7,FOOD#QUALITY,75,positive,улитки,81,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!"
27925,1,27925:6,,7,FOOD#QUALITY,175,positive,блюда из мяса на мангале,199,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!"
27925,1,27925:6,,7,FOOD#STYLE_OPTIONS,175,positive,блюда из мяса на мангале,199,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!"
27925,1,27925:6,,7,FOOD#QUALITY,306,positive,мяса на мангале,321,"На наш не большой банкетик мы заказали пару приятных блюд, я заказала себе улитки очень вкусно было и совсем недорого примерно 300 рублей помоему, мой молодой человек заказал блюда из мяса на мангале, которых у них полно, ему не угодишь обычно, а тут понравилось его друзья тоже заказали по порции разного мяса на мангале тоже очень понравились!"
27925,1,27925:7,,8,AMBIENCE#GENERAL,49,positive,живая музыка,61,"Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!"
27925,1,27925:7,,8,AMBIENCE#GENERAL,187,positive,голос солистки,201,"Ближе к вечеру нас предупредили о том, что будет живая музыка, мы так обрадовались этому неожиданному сюрпризу у нас как раз подошло время для танцев, а тут сопровождает такой прекрасный голос солистки……!!!"
27925,1,27925:8,,9,RESTAURANT#GENERAL,64,positive,ресторане,73,"В общем мы остались безумно довольны проведённым вечером в этом ресторане, так что всем советуем))"
10099,2,10099:0,,10,,,,,,Были в Дитае на прошлой неделе с подругой.
