/Reviews,,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
es_9reinas_10_JordiCollGranell_2014-09-21,1,es_9reinas_10_JordiCollGranell_2014-09-21:0,,1,RESTAURANT#GENERAL,0,positive,NULL,0,Nos sentimos muy a gusto.
es_9reinas_10_JordiCollGranell_2014-09-21,1,es_9reinas_10_JordiCollGranell_2014-09-21:1,,2,SERVICE#GENERAL,5,positive,servicio,13,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien."
es_9reinas_10_JordiCollGranell_2014-09-21,1,es_9reinas_10_JordiCollGranell_2014-09-21:1,,2,AMBIENCE#GENERAL,15,positive,ambiente,23,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien."
es_9reinas_10_JordiCollGranell_2014-09-21,1,es_9reinas_10_JordiCollGranell_2014-09-21:1,,2,FOOD#QUALITY,47,positive,comida,53,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien."
es_9reinas_10_JordiCollGranell_2014-09-21,1,es_9reinas_10_JordiCollGranell_2014-09-21:2,,3,RESTAURANT#GENERAL,0,positive,NULL,0,Muy recomendable
es_9reinas_12_RomanAlimena_2014-09-04,2,es_9reinas_12_RomanAlimena_2014-09-04:0,,4,SERVICE#GENERAL,3,positive,atencion,11,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo."
es_9reinas_12_RomanAlimena_2014-09-04,2,es_9reinas_12_RomanAlimena_2014-09-04:0,,4,SERVICE#GENERAL,30,positive,camareros,39,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo."
es_9reinas_12_RomanAlimena_2014-09-04,2,es_9reinas_12_RomanAlimena_2014-09-04:1,,5,FOOD#QUALITY,5,positive,comida,11,"Y la comida espectacular, por eso lo bueno se paga..."
es_9reinas_12_RomanAlimena_2014-09-04,2,es_9reinas_12_RomanAlimena_2014-09-04:2,,6,FOOD#PRICES,45,negative,salsa provenzal,60,"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien."
es_9reinas_12_RomanAlimena_2014-09-04,2,es_9reinas_12_RomanAlimena_2014-09-04:2,,6,RESTAURANT#GENERAL,0,positive,NULL,0,"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien."
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,es_9reinas_14_AngelEspanolPuig_2014-06-26:0,,7,RESTAURANT#GENERAL,0,neutral,NULL,0,Nada especial.
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,es_9reinas_14_AngelEspanolPuig_2014-06-26:1,,8,RESTAURANT#GENERAL,0,neutral,NULL,0,"Me habían comentado maravillas y está bien, pero nada más."
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,es_9reinas_14_AngelEspanolPuig_2014-06-26:2,,9,FOOD#QUALITY,4,neutral,carnes,10,"Las carnes bien, pero como muchas otras."
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,es_9reinas_14_AngelEspanolPuig_2014-06-26:3,,10,FOOD#PRICES,28,negative,comida,34,"El precio, por lo que es la comida, para mi gusto es elevado."
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,es_9reinas_17_JoseCarlosLopez_2014-02-24:0,,11,FOOD#QUALITY,15,positive,producto,23,"la calidad del producto, el servicio, el entorno todo fue excelente"
es_9reinas_17_JoseCarlosLopez_2014-02-24,4,es_9reinas_17_JoseCarlosLopez_2014-02-24:0,,11,SERVICE#GENERAL,28,positive,servicio,36,"la calidad del producto, el servicio, el entorno todo fue excelente"
