/Reviews,,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
1000,1,1000:0,,1,SERVICE#GENERAL,24,negative,servis,30,Manzara sahane evet ama servis rezalet.
1000,1,1000:0,,1,AMBIENCE#GENERAL,0,positive,Manzara,7,Manzara sahane evet ama servis rezalet.
1000,1,1000:1,,2,FOOD#STYLE_OPTIONS,188,negative,mezenin,195,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi."
1000,1,1000:1,,2,SERVICE#GENERAL,66,negative,garson,72,"Soguk su isteyince, soguk yok, butun sulari disari cikardik diyen garson, siparisten tam 2 saat sonra gelen yemekler, yemegin yaninda soylenen roka ve pureden eser olmamasi, istedigimiz 2 mezenin de kalmamis olmasi."
1000,1,1000:2,,3,FOOD#QUALITY,18,positive,lezzetler,27,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil."
1000,1,1000:2,,3,FOOD#QUALITY,0,positive,Yemekler,8,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil."
1000,1,1000:2,,3,FOOD#QUALITY,0,neutral,NULL,0,"Yemekler iyi hos, lezzetler iyi ama heyecan verici bi taraflari yok, iyi bir baligi iyi bir sekilde izgara yapmak artik atla deve bi olay degil."
1000,1,1000:3,,4,RESTAURANT#PRICES,14,negative,fiyatlar,22,bu servise bu fiyatlar ise cok faZla.
1000,1,1000:4,,5,RESTAURANT#GENERAL,14,negative,kalitesinin,25,Lacivert beni kalitesinin dusukluguyle cok sasirtti
1001,2,1001:0,TRUE,6,,,,,,Nerden baslasam bilemedim.
1001,2,1001:1,,7,FOOD#QUALITY,59,negative,balik,64,Buraya bu kadar iyi yorum yapanlar her halde daha önce hiç balik yemediler.
