/Reviews,,,,,,,,,
/@slot1,/@slot12,/@slot2,/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/text
u,u,u,Review-g188636-d4080718_2,1,FOOD#QUALITY,positive,,,
u,u,u,Review-g188636-d4080718_2,1,FOOD#STYLE_OPTIONS,positive,,,
u,u,u,Review-g188636-d4080718_2,1,RESTAURANT#GENERAL,positive,,,
u,u,u,Review-g188636-d4080718_2,1,SERVICE#GENERAL,positive,,,
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:1,,"Wij kwamen hier gisteren met 2 met een Grouponbon, menu met fles wijn en halve liter water."
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:2,,De ontvangst was zéér vriendelijk en hartelijk.
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:3,,"Het voorgerecht was héél lekker, de hoofdschotel ook."
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:4,,Verschillende superlekkere gerechtjes met rijst apart.
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:5,,Heel veel groenten.
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:6,,Zeker voldoende voor 2 pers. enig minmuntje: wat weinig kip en scampi's.
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:7,,Het nagerechtje was wat taai en geen verse chocoladesaus.
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:8,,Maar je moet wel prijs/kwaliteit voor ogen houden he...
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:9,,Bediening SUPER vriendelijk.
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:10,,"Ik was een beetje bang na het lezen van andere reacties, ik kan ze alleen ongelijk geven."
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:11,,"De kaart is zéér uitgebreid, wij komen zeker en vast terug!"
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:12,,"Er zou juist een nieuwe eigenaar zijn, vandaar misschien het positieve dat hij betracht."
u,u,u,Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:13,,Wij wensen hem héél veel succes!
u,u,u,Review-g188636-d4080718_1,2,AMBIENCE#GENERAL,positive,,,
u,u,u,Review-g188636-d4080718_1,2,FOOD#STYLE_OPTIONS,neutral,,,
u,u,u,Review-g188636-d4080718_1,2,RESTAURANT#GENERAL,positive,,,
u,u,u,Review-g188636-d4080718_1,2,RESTAURANT#PRICES,positive,,,
u,u,u,Review-g188636-d4080718_1,2,,,Review-g188636-d4080718_1:1,,"Leuk ingericht, genoeg keuze, goed prijs/kwaliteitverhouding."
u,u,u,Review-g188636-d4080718_1,2,,,Review-g188636-d4080718_1:2,,Wij zijn er rond 21u nog binnen gevallen dus er was weinig volk aanwezig.
u,u,u,Review-g641832-d2274858_4,3,DRINKS#QUALITY,positive,,,
u,u,u,Review-g641832-d2274858_4,3,DRINKS#STYLE_OPTIONS,neutral,,,
u,u,u,Review-g641832-d2274858_4,3,FOOD#QUALITY,positive,,,
u,u,u,Review-g641832-d2274858_4,3,FOOD#STYLE_OPTIONS,positive,,,
u,u,u,Review-g641832-d2274858_4,3,RESTAURANT#GENERAL,positive,,,
u,u,u,Review-g641832-d2274858_4,3,SERVICE#GENERAL,positive,,,
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:1,,al van bij het binnenkomen voelden wij ons welkom.
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:2,,bij de apero volgden verschillende hapjes.
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:3,,het voorgerecht en hoofdgerecht waren echt plaatjes.
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:4,,het dessert en mignardises bij de koffie zorgden voor de perfecte afsluiter.
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:5,,de ongewone wijnen waren werkelijk ontdekkingen.
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:6,,Kortom: dit restaurant moet je bezoeken!
u,u,u,Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:7,,een dikke proficiat aan het hele Boury team!
u,u,u,Review-g188672-d1915624_2,4,FOOD#QUALITY,negative,,,
u,u,u,Review-g188672-d1915624_2,4,RESTAURANT#GENERAL,negative,,,
u,u,u,Review-g188672-d1915624_2,4,SERVICE#GENERAL,negative,,,
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:1,,Ooit...
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:2,,Of er was eens...
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:3,TRUE,"De meeste sprookjes beginnen over het algemeen zo en ja: 'Ooit 'was 't Zeezotje een fijne plaats om te zijn met een sympathieke patron, een goede bediening én lekker eten..."
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:4,,"Jammer genoeg hebben we dit de laatste jaren steeds meer zien wegdeemsteren tot een niveau vér beneden alle peil: klant-onvriendelijke patron, slecht eten en geen service..."
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:5,,Enkel en alleen de 'kching' van de kassa telt en ben je niet tevreden?
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:6,,Dan is daar de deur...
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:7,,Beste advies?
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:8,,"Blijf hier gewoon weg, want er zijn heel véél betere én sympathiekere horecazaken in Oostende waar ze tenminste nog weten wat lekker eten én echte klantvriendelijke service is!"
u,u,u,Review-g188672-d1915624_2,4,,,Review-g188672-d1915624_2:9,,Tja...
u,u,u,Review-g641832-d2274858_2,5,FOOD#QUALITY,negative,,,
u,u,u,Review-g641832-d2274858_2,5,RESTAURANT#GENERAL,negative,,,
u,u,u,Review-g641832-d2274858_2,5,RESTAURANT#PRICES,negative,,,
u,u,u,Review-g641832-d2274858_2,5,SERVICE#GENERAL,conflict,,,
u,u,u,Review-g641832-d2274858_2,5,,,Review-g641832-d2274858_2:1,,"Gisteren gaan eten bij Boury, sorry maar begrijp niet dat dit een ster verdiend, de bediening van de zaakvoerster laat alles te wensen over, een lach kan er niet af en de gerechten die warm dienden te hebben waren koud, een peperdure rekening en niet goed gegeten een snak en een snauw bij het afrekenen sorry hoor maar als je deze prijs betaald, denk toch dat sommige mensen dienen hun mening te herzien dit is geen restaurant maar voor mij een bistro, personeel was wel vriendelijk en excuseren zich aan tafel voor het gedrag van hun oversten, dit kan ik echt niet aanraden"
u,u,u,Review-g2175109-d3474389_2,6,RESTAURANT#GENERAL,negative,,,
u,u,u,Review-g2175109-d3474389_2,6,SERVICE#GENERAL,negative,,,
u,u,u,Review-g2175109-d3474389_2,6,,,Review-g2175109-d3474389_2:1,,"De tuin kon leuk zijn als het gras eens gemaaid werd, het terras nog leuker als de tafels proper waren en het zou Tienen een leuk restaurant rijker maken indien de bediening vriendelijk was en de wachttijden respectabel."
u,u,u,Review-g2175109-d3474389_2,6,,,Review-g2175109-d3474389_2:2,,indien ik op mijn werk zo zou omgaan met klanten zou mijn C4 er vlug liggen!
u,u,u,Review-g188671-d1604411_1,7,FOOD#QUALITY,positive,,,
u,u,u,Review-g188671-d1604411_1,7,FOOD#STYLE_OPTIONS,positive,,,
u,u,u,Review-g188671-d1604411_1,7,RESTAURANT#GENERAL,positive,,,
u,u,u,Review-g188671-d1604411_1,7,SERVICE#GENERAL,positive,,,
u,u,u,Review-g188671-d1604411_1,7,,,Review-g188671-d1604411_1:1,,Zeker een goed restaurant.
u,u,u,Review-g188671-d1604411_1,7,,,Review-g188671-d1604411_1:2,,Wij kozen voor het driegangen dagmenu.
u,u,u,Review-g188671-d1604411_1,7,,,Review-g188671-d1604411_1:3,,"Hierbij kregen wij ook nog dusdanig veel amuses, dat het makkelijk als viergangen had doorgekund."
u,u,u,Review-g188671-d1604411_1,7,,,Review-g188671-d1604411_1:4,,"Alles perfect op smaak, leuke en verrassende gerechten."
u,u,u,Review-g188671-d1604411_1,7,,,Review-g188671-d1604411_1:5,,"Het toetje was wat aan de karige kant, maar de smaak was top."
u,u,u,Review-g188671-d1604411_1,7,,,Review-g188671-d1604411_1:6,,De bediening vond ik vrij informeel voor de setting.
