/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/text
1004293,1,RESTAURANT#GENERAL,negative,,
1004293,1,SERVICE#GENERAL,negative,,
1004293,1,FOOD#QUALITY,negative,,
1004293,1,FOOD#STYLE_OPTIONS,negative,,
1004293,1,,,1004293:0,"Judging from previous posts this used to be a good place, but not any longer."
1004293,1,,,1004293:1,"We, there were four of us, arrived at noon - the place was empty - and the staff acted like we were imposing on them and they were very rude."
1004293,1,,,1004293:2,"They never brought us complimentary noodles, ignored repeated requests for sugar, and threw our dishes on the table."
1004293,1,,,1004293:3,The food was lousy - too sweet or too salty and the portions tiny.
1004293,1,,,1004293:4,"After all that, they complained to me about the small tip."
1004293,1,,,1004293:5,Avoid this place!
1014458,2,FOOD#QUALITY,positive,,
1014458,2,RESTAURANT#GENERAL,positive,,
1014458,2,DRINKS#STYLE_OPTIONS,positive,,
1014458,2,DRINKS#PRICES,positive,,
1014458,2,RESTAURANT#PRICES,positive,,
1014458,2,,,1014458:0,"I have eaten at Saul, many times, the food is always consistently, outrageously good."
1014458,2,,,1014458:1,Saul is the best restaurant on Smith Street and in Brooklyn.
1014458,2,,,1014458:2,The duck confit is always amazing and the foie gras terrine with figs was out of this world.
1014458,2,,,1014458:3,The wine list is interesting and has many good values.
1014458,2,,,1014458:4,"For the price, you cannot eat this well in Manhattan."
1028246,3,RESTAURANT#GENERAL,positive,,
1028246,3,SERVICE#GENERAL,positive,,
1028246,3,FOOD#QUALITY,positive,,
1028246,3,RESTAURANT#PRICES,positive,,
1028246,3,,,1028246:0,"Went on a 3 day oyster binge, with Fish bringing up the closing, and I am so glad this was the place it O trip ended, because it was so great!"
1028246,3,,,1028246:1,"Service was devine, oysters where a sensual as they come, and the price can't be beat!!!"
1028246,3,,,1028246:2,You can't go wrong here.
1032695,4,RESTAURANT#GENERAL,positive,,
1032695,4,FOOD#QUALITY,positive,,
1032695,4,SERVICE#GENERAL,positive,,
1032695,4,AMBIENCE#GENERAL,positive,,
1032695,4,,,1032695:0,Every time in New York I make it a point to visit Restaurant Saul on Smith Street.
1032695,4,,,1032695:1,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated."
1032695,4,,,1032695:2,I had the duck breast special on my last visit and it was incredible.
1032695,4,,,1032695:3,Can't wait wait for my next visit.
1053543,5,DRINKS#STYLE_OPTIONS,positive,,
1053543,5,SERVICE#GENERAL,positive,,
1053543,5,FOOD#QUALITY,positive,,
