/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/text
24578,1,AMBIENCE#GENERAL,positive,,
24578,1,SERVICE#GENERAL,negative,,
24578,1,RESTAURANT#GENERAL,conflict,,
24578,1,FOOD#QUALITY,positive,,
24578,1,FOOD#STYLE_OPTIONS,negative,,
24578,1,RESTAURANT#PRICES,neutral,,
24578,1,,,24578:0,Зашли в ресторан в выходной день случайно.
24578,1,,,24578:1,"Посоветовала сестра, которая частенько там бывает."
24578,1,,,24578:2,"Ресторан довольно уютный, милая домашняя обстановка."
24578,1,,,24578:3,"Людей было мало, поэтому нам достался столик у окна с видом на Большой проспект."
24578,1,,,24578:4,Очень не плохо.
24578,1,,,24578:5,"Еда вкусная, но порции не большие."
24578,1,,,24578:6,Нас было четверо и мы все заказали пасту.
24578,1,,,24578:7,У всех было довольно прилично приготовлено.
24578,1,,,24578:8,Салаты вообще оказались вкуснейшими.
24578,1,,,24578:9,Я брала пасту с грибами.
24578,1,,,24578:10,М-мми.
24578,1,,,24578:11,Вкусно.
24578,1,,,24578:12,"Один недостаток, что нас обслуживали очень долго."
24578,1,,,24578:13,"На наше замечание девушка сказала, что у них какие-то проблемы на кухне."
24578,1,,,24578:14,"Мы не стали выяснять, что за проблемы, но настроение было подпорчено."
24578,1,,,24578:15,Цены средние.
24578,1,,,24578:16,"Да, и в ресторане чаевые от суммы оставляют себе сами."
24578,1,,,24578:17,А так не плохо.
24578,1,,,24578:18,Еще можно купить домой масло оливковое.
24578,1,,,24578:19,Очень вкусное.
24578,1,,,24578:20,Желаю приятного времяпровождения.
11267,2,SERVICE#GENERAL,negative,,
11267,2,AMBIENCE#GENERAL,negative,,
11267,2,FOOD#QUALITY,negative,,
11267,2,RESTAURANT#GENERAL,negative,,
11267,2,,,11267:0,Давно не была в таком ужасном месте.
11267,2,,,11267:1,"Обслуживание просто ни в какие рамки не лезет, офицантки просто не обращают на тебя никакого внимания, а если уж все-таки удастся кого-нибудь поймать, то на тебя смотрят с таким выражением лица.. ""ах, вам еще и принести что-то надо...""."
11267,2,,,11267:2,По-поводу самой еды - ни одно блюдо восхищения не вызвало.
11267,2,,,11267:3,"В силу обстоятельств, была в этом ресторанчике не один раз, но как-то с каждым разом убеждаюсь в совем первом впечатлении."
11267,2,,,11267:4,"Однажды при заказе супа из меню официантка сказала, что следует заказать другой, так как этот скис (!!!)."
11267,2,,,11267:5,"Интерьер - очень темный, не каждому тоже будет по вкусу."
11267,2,,,11267:6,"В общем, не советую ходить в это место."
11267,2,,,11267:7,На той же улице есть довольно много заведений лучшего качества.
1878,3,SERVICE#GENERAL,positive,,
1878,3,LOCATION#GENERAL,negative,,
1878,3,AMBIENCE#GENERAL,positive,,
1878,3,FOOD#QUALITY,positive,,
1878,3,RESTAURANT#GENERAL,positive,,
1878,3,,,1878:0,"Был недавно в этом ресторане с друзьями днем, все очень понравилось."
1878,3,,,1878:1,"Встретили, предложили выбрать столик, народу было немного, атмосфера приятная."
1878,3,,,1878:2,"Сразу подошла официантка, с темными волосами, к сожалению имя не запомнил, обслуживание в ресторане отличное, тут ничего не скажешь!"
1878,3,,,1878:3,"На мою просьбу помочь выбрать блюдо, девушка с радостью предложила нам пару салатиков и горячее, готовили все очень быстро и все блюда были обалденно вкусными."
1878,3,,,1878:4,"Очень рад что приехал сюда, хоть и находится далековато,но я ни разу не пожалел, буду советовать всем своим друзьям это заведение."
33798,4,RESTAURANT#GENERAL,positive,,
33798,4,SERVICE#GENERAL,positive,,
33798,4,AMBIENCE#GENERAL,positive,,
33798,4,FOOD#QUALITY,positive,,
33798,4,FOOD#STYLE_OPTIONS,positive,,
33798,4,,,33798:0,Живу недалеко от этого ресторана.
33798,4,,,33798:1,"Часто приходим сюда с семьей или друзьями, потому что здесь всегда можно вкусно поесть и приятно провести вечер."
33798,4,,,33798:2,"Очень разнообразное меню, до сих пор всё не перепробовали."
33798,4,,,33798:3,"Очень радует, что есть японская и итальянская кухни."
33798,4,,,33798:4,Подходит для всех)
33798,4,,,33798:5,Паста и суши всегда на отлично!
33798,4,,,33798:6,Очень нравится блюда на гриле.
33798,4,,,33798:7,"В общем, к еде никаих претензий."
33798,4,,,33798:8,Сам интерьер спокойный и приятный.
33798,4,,,33798:9,"Официанты внимательные, но ненавящивые."
33798,4,,,33798:10,С удовольствием посещаем этот ресторан)))
36359,5,FOOD#QUALITY,positive,,
36359,5,AMBIENCE#GENERAL,positive,,
36359,5,RESTAURANT#GENERAL,positive,,
36359,5,SERVICE#GENERAL,positive,,
36359,5,,,36359:0,"Н Начну из далека)) года 1,5-2 назад заходила в ""дали"" и осталась с неоднозначными впечатлениями (то ли понравилось,то ли нет)."
36359,5,,,36359:1,"Кухня никакая,какой-то странный персонал в непонятной форме,обслуживание тоже ни о чем."
36359,5,,,36359:2,"Единственное что зацепило - дизайн кафе,уж очень красивый."
36359,5,,,36359:3,Буквально на днях решила рискнуть и зайти отдохнуть.
36359,5,,,36359:4,"Кафе можно было узнать только по оставленному дизайну,все остальное поменялось."
36359,5,,,36359:5,"Заказала себе салат,так мне даже было жалко его съесть,настолько было красиво украшен))я уже не говорю,что было очень вкусно)."
36359,5,,,36359:6,Очень понравилось ненавязчивое и качественное обслуживание.
36359,5,,,36359:7,"Спасибо Вам большое за уютную атмосферу,от Вас даже не хотелось уходить,все настолько было тепло и радушно!)"
1032,6,RESTAURANT#GENERAL,negative,,
1032,6,FOOD#QUALITY,conflict,,
1032,6,SERVICE#GENERAL,negative,,
1032,6,,,1032:0,"Посетили этот ресторан 25,08,12."
1032,6,,,1032:1,После посещения желания прийти ещё раз нет.
1032,6,,,1032:2,Очень много недочетов как в работе официантов так и в блюдах. 1.
1032,6,,,1032:3,"Были с ребенком, заказали из детского меню пиццу."
1032,6,,,1032:4,"К большому удивлению пицца (ещё раз - из детского меню!) была на столько острая, что и взрослые не смогли её есть, не говоря уже о ребенке."
1032,6,,,1032:5,"Официант вообще прокомментировала это так, что детское меню - это для взрослых, которые хотят заказать маленькие порции, а не для детей. :)) 2."
1032,6,,,1032:6,"Попросили принести обычный яблочный сок, не свежевыжатый, принесли свежевыжатый, пришлось вернуть. 3."
1032,6,,,1032:7,"Просили принести ""свежевыжатый сок в большом стакане + газированную воду"" сок принесли в маленьком стакане про воду забыли. 4."
1032,6,,,1032:8,Просили официанта помочь выбрать из 2-х блюд.
1032,6,,,1032:9,"Официант сказал ""у нас все вкусное"" и помочь с выбором не смог."
1032,6,,,1032:10,"За кухню оценка 3, т.к. из всего заказа понравилась только панакота."
1032,6,,,1032:11,Салат Цезарь был так себе + очень острая пицца из детского меню.
1032,6,,,1032:12,"За сервис 3, т.к. официант путала заказы, не могла помочь с выбором (или не хотела, когда клиент просит помочь определиться, он не хочет услышать ""все вкусное, берите все"")."
1032,6,,,1032:13,"А мнение что детское меню не для детей, вообще ""убило""."
1032,6,,,1032:14,"Из плюсов хочу отметить няню в детской комнате, очень милая девушка, ребенку очень понравилась."
13835,7,RESTAURANT#GENERAL,positive,,
13835,7,SERVICE#GENERAL,positive,,
13835,7,DRINKS#QUALITY,positive,,
13835,7,FOOD#QUALITY,positive,,
13835,7,AMBIENCE#GENERAL,positive,,
