/Reviews,,,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/@OutOfScope,/Review/sentences/sentence/Opinions,/Review/sentences/sentence/text
es_9reinas_10_JordiCollGranell_2014-09-21,1,RESTAURANT#GENERAL,positive,,,,
es_9reinas_10_JordiCollGranell_2014-09-21,1,SERVICE#GENERAL,positive,,,,
es_9reinas_10_JordiCollGranell_2014-09-21,1,AMBIENCE#GENERAL,positive,,,,
es_9reinas_10_JordiCollGranell_2014-09-21,1,FOOD#QUALITY,positive,,,,
es_9reinas_10_JordiCollGranell_2014-09-21,1,,,es_9reinas_10_JordiCollGranell_2014-09-21:0,,,Nos sentimos muy a gusto.
es_9reinas_10_JordiCollGranell_2014-09-21,1,,,es_9reinas_10_JordiCollGranell_2014-09-21:1,,,"Buen servicio, ambiente Acogedor  y tranquilo, comida bien."
es_9reinas_10_JordiCollGranell_2014-09-21,1,,,es_9reinas_10_JordiCollGranell_2014-09-21:2,,,Muy recomendable
es_9reinas_12_RomanAlimena_2014-09-04,2,SERVICE#GENERAL,positive,,,,
es_9reinas_12_RomanAlimena_2014-09-04,2,FOOD#QUALITY,positive,,,,
es_9reinas_12_RomanAlimena_2014-09-04,2,FOOD#PRICES,negative,,,,
es_9reinas_12_RomanAlimena_2014-09-04,2,RESTAURANT#GENERAL,positive,,,,
es_9reinas_12_RomanAlimena_2014-09-04,2,,,es_9reinas_12_RomanAlimena_2014-09-04:0,,,"La atencion es muy buena, los camareros estan muy pendientes de uno todo el tiempo."
es_9reinas_12_RomanAlimena_2014-09-04,2,,,es_9reinas_12_RomanAlimena_2014-09-04:1,,,"Y la comida espectacular, por eso lo bueno se paga..."
es_9reinas_12_RomanAlimena_2014-09-04,2,,,es_9reinas_12_RomanAlimena_2014-09-04:2,,,"Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron, por lo demas todo bien."
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,RESTAURANT#GENERAL,neutral,,,,
es_9reinas_14_AngelEspanolPuig_2014-06-26,3,FOOD#QUALITY,neutral,,,,
