/Reviews,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:0,1,SERVICE#GENERAL,0,negative,NULL,0,"Une petite dame nous accueille sans le sourire mais surtout sans enthousiasme, ça devait l'énerver d'avoir des clients un mardi soir .... 3 tables."
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:1,2,RESTAURANT#GENERAL,0,negative,NULL,0,"Bref, passons ...."
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:2,3,FOOD#QUALITY,24,negative,lasagnes,32,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !"
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:2,3,FOOD#QUALITY,60,negative,fromage,67,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !"
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:2,3,FOOD#QUALITY,125,negative,concentré de tomates,145,"On commande quand même, lasagnes pâteuses, avec beaucoup de fromage sans saveur sur le dessus, ce qui atténuait l'acidité du concentré de tomates ... !"
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:3,4,FOOD#QUALITY,0,negative,Dessert,7,Dessert tout sauf maison .... !
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:4,5,RESTAURANT#GENERAL,0,negative,NULL,0,"Je ne conseille vraiment pas, même si votre frigo est vide et que les autres restau d'à côté sont pleins et que vous ne savez pas où aller ....."
g1080574-d1337519-r211045323,1,g1080574-d1337519-r211045323:5,6,RESTAURANT#GENERAL,0,negative,NULL,0,Il vaut encore mieux aller au Mc Do !
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:0,7,AMBIENCE#GENERAL,20,positive,décor,25,"Petit restaurant au décor soigné, aux tables bien mises."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:1,8,SERVICE#GENERAL,2,negative,accueil,9,"L'accueil manque un peu de chaleur, le service qui suivra également."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:1,8,SERVICE#GENERAL,0,negative,NULL,0,"L'accueil manque un peu de chaleur, le service qui suivra également."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:2,9,FOOD#STYLE_OPTIONS,15,neutral,menus,20,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:2,9,FOOD#QUALITY,102,positive,hoummous,110,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:2,9,FOOD#QUALITY,112,positive,taboulé,119,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:2,9,FOOD#QUALITY,174,negative,purée d'aubergine,191,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:2,9,FOOD#QUALITY,210,negative,boulettes,219,"Les différents menus à base de ""Mezzés"" se ressemblent, les spécialités sont réussies pour certaines (hoummous, taboulé..), moins réussies pour d'autres comme par exemple la purée d'aubergine assez fade ou ces boulettes ayant un arrière goût ""brûlé""."
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:3,10,FOOD#STYLE_OPTIONS,0,negative,NULL,0,Nous sommes dans le classique du genre avec peu de surprise et des prix plutôt élevés.
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:3,10,RESTAURANT#PRICES,0,negative,NULL,0,Nous sommes dans le classique du genre avec peu de surprise et des prix plutôt élevés.
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:4,11,DRINKS#STYLE_OPTIONS,32,positive,carte des vins,46,Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:4,11,SERVICE#GENERAL,73,positive,restaurateur,85,Mention spéciale toutefois à la carte des vins (libanais) et au geste du restaurateur qui a offert une partie des desserts.
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:5,12,RESTAURANT#GENERAL,0,positive,NULL,0,"Allons, une bonne soirée tout de même, mais un effort souhaité sur les goûts et saveurs méditerranéennes !"
g187075-d3489527-r254992608,2,g187075-d3489527-r254992608:5,12,FOOD#QUALITY,0,negative,NULL,0,"Allons, une bonne soirée tout de même, mais un effort souhaité sur les goûts et saveurs méditerranéennes !"
