/Reviews,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
3976,1,3976:0,1,,,,,,"День 8-го марта прошёл, можно и итоги подвести."
3976,1,3976:1,2,RESTAURANT#GENERAL,23,positive,ресторане,32,"Решил написать отзыв о ресторане в котором отметили прекрасный весений праздник, прочитал отзывы edik077 и Rules77777и понял что либо мы были вразных ресторанах, либо у ребят что-то незаладилось."
3976,1,3976:2,3,,,,,,Но теперь о ресторане.
3976,1,3976:3,4,SERVICE#GENERAL,55,positive,администратор,68,"Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго."
3976,1,3976:3,4,SERVICE#GENERAL,82,positive,предварительный заказ,103,"Столик бронировали заранее и сделали так как предложил администратор т.е. сделали предварительный заказ, когда придя увидели полностью заполненый ресторан поняли что совет нам дали действительно правильный, в ресторане было человек 70-80, тут действительно горячее блюдо можно ждать весьма долго."
3976,1,3976:4,5,FOOD#QUALITY,0,positive,Меню,4,"Меню достаточно разнообразное и весьма вкусное, мне и моим друзьям понравилось всё что нам принесли, а принесли нам немало."
3976,1,3976:4,5,FOOD#STYLE_OPTIONS,0,positive,Меню,4,"Меню достаточно разнообразное и весьма вкусное, мне и моим друзьям понравилось всё что нам принесли, а принесли нам немало."
3976,1,3976:5,6,SERVICE#GENERAL,51,neutral,официанты,60,"Обслуживание может и не самое лучьшее в городе, но официанты делали всё что нужно."
3976,1,3976:6,7,SERVICE#GENERAL,0,neutral,NULL,0,"Должен сказать что ждать нам всёравно пришлось, не очень долго конечно, но всё-же."
3976,1,3976:7,8,AMBIENCE#GENERAL,0,positive,Интерьер,8,"Интерьер хороший, удобные диваны."
3976,1,3976:7,8,AMBIENCE#GENERAL,26,positive,диваны,32,"Интерьер хороший, удобные диваны."
3976,1,3976:8,9,AMBIENCE#GENERAL,14,positive,музыкальная программа,35,Очень хорошая музыкальная программа и весёлый ведущий.
3976,1,3976:8,9,AMBIENCE#GENERAL,46,positive,ведущий,53,Очень хорошая музыкальная программа и весёлый ведущий.
3976,1,3976:9,10,RESTAURANT#GENERAL,77,positive,ресторан,85,"В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая."
3976,1,3976:9,10,AMBIENCE#GENERAL,0,positive,NULL,0,"В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая."
3976,1,3976:9,10,FOOD#QUALITY,96,positive,кухня,101,"В общем я остался доволен своим выбором, и тем как мы провели вечер, хороший ресторан, уютный и кухня хорошая."
3976,1,3976:10,11,RESTAURANT#GENERAL,0,positive,Руководству,11,Руководству и персоналу СПАСИБО.
3976,1,3976:10,11,SERVICE#GENERAL,14,positive,персоналу,23,Руководству и персоналу СПАСИБО.
30808,2,30808:0,12,,,,,,Отмечали в этом ресторане день рождение на первом этаже в субботу вечером.
30808,2,30808:1,13,RESTAURANT#GENERAL,49,positive,руководству ресторана,70,"Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда."
30808,2,30808:1,13,SERVICE#GENERAL,72,positive,обслуживающему персоналу,96,"Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда."
30808,2,30808:1,13,SERVICE#GENERAL,114,positive,сотрудникам,125,"Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда."
30808,2,30808:1,13,FOOD#QUALITY,179,positive,блюда,184,"Хочу выразить большую благодарность прежде всего руководству ресторана, обслуживающему персоналу и конечно же тем сотрудникам, которые готовят посетителям заведения столь вкусные блюда."
30808,2,30808:2,14,RESTAURANT#GENERAL,0,positive,NULL,0,Понравилось абсолютно все.
30808,2,30808:3,15,AMBIENCE#GENERAL,22,positive,интерьер,30,Конечно же впечатляет интерьер: уютно и красиво.
30808,2,30808:4,16,FOOD#QUALITY,0,positive,Стол,4,Стол был шикарный.
30808,2,30808:5,17,SERVICE#GENERAL,15,positive,официант,23,"Нас обслуживал официант Бахрам, спасибо ему."
30808,2,30808:6,18,RESTAURANT#GENERAL,23,positive,ресторана,32,"Хочу отметить, что для ресторана такого уровня цены не высокие."
30808,2,30808:6,18,RESTAURANT#PRICES,23,positive,ресторана,32,"Хочу отметить, что для ресторана такого уровня цены не высокие."
16137,3,16137:0,19,,,,,,Для встречи с друзьями было выбрано данное заведение в основном благодаря отзывам.
16137,3,16137:1,20,AMBIENCE#GENERAL,93,negative,интерьер,101,"Ну во-первых, хочется отметить одно маленькое разочарование, которое меня охватило сразу же: интерьер."
16137,3,16137:2,21,AMBIENCE#GENERAL,0,negative,NULL,0,Я действительно ожидала увидеть нечто большее.
16137,3,16137:3,22,AMBIENCE#GENERAL,0,negative,NULL,0,Не буду нудно расписывать что и как не так.
16137,3,16137:4,23,AMBIENCE#GENERAL,54,negative,gangster bar-а,68,"Просто осталось чувство, что столь интересную задумку gangster bar-а не до конца смогли реализовать."
16137,3,16137:5,24,,,,,,"Черно-белые плакаты, кирпичные стены..."
16137,3,16137:6,25,SERVICE#GENERAL,11,negative,Встреча гостей,25,"Во-вторых: Встреча гостей в ресторане- отсутствовала, мы стояли ждали...оглядывались, пару официантов делали свои дела..."
