/Reviews,,,,,,,,,
/Review/@rid,/Review/#id,/Review/sentences/sentence/@id,/Review/sentences/sentence/#id,/Review/sentences/sentence/Opinions/Opinion/@category,/Review/sentences/sentence/Opinions/Opinion/@from,/Review/sentences/sentence/Opinions/Opinion/@polarity,/Review/sentences/sentence/Opinions/Opinion/@target,/Review/sentences/sentence/Opinions/Opinion/@to,/Review/sentences/sentence/text
es_la-scala-zaragoza_comment-4006,1,es_la-scala-zaragoza_comment-4006:0,1,RESTAURANT#GENERAL,161,negative,La Scala,169,"En Zaragoza hay Restaurantes correctos, buenos, muy buenos,Restaurantes a los que no vuelves, los que pasan desapercibidos, mediocres y pésimos como por ejemplo La Scala."
es_la-scala-zaragoza_comment-4006,1,es_la-scala-zaragoza_comment-4006:1,2,FOOD#QUALITY,55,negative,delicias,63,Afirmar que en ese local se pueden degustar verdaderas delicias es una auténtica temeridad.
es_la-scala-zaragoza_comment-4006,1,es_la-scala-zaragoza_comment-4006:2,3,RESTAURANT#GENERAL,0,negative,NULL,0,Para olvidar.
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:0,4,,,,,,"Fui, una vez más, con un amigo a comer al Restaurante Barceloneta."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:1,5,RESTAURANT#GENERAL,0,positive,NULL,0,Nunca defrauda.
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:2,6,FOOD#QUALITY,0,positive,Productos,9,"Productos de calidad óptima, elaborados magníficamente."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:3,7,SERVICE#GENERAL,38,positive,servicio,46,"Siempre es igual de excelente, con un servicio impecable."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:4,8,SERVICE#GENERAL,3,positive,Jefe de Sala,15,"Un Jefe de Sala que siempre recuerda y saluda a los cliente habituales, aunque hayan pasado meses desde la última vez que visitaron el restaurante."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:5,9,RESTAURANT#GENERAL,0,positive,Un valor seguro,15,Un valor seguro.
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:6,10,RESTAURANT#GENERAL,0,positive,"Un ""Blue chip"" de la restauración",33,"Un ""Blue chip"" de la restauración."
