/Reviews,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/text
Review-g188636-d4080718_2,1,FOOD#QUALITY,positive,,
Review-g188636-d4080718_2,1,FOOD#STYLE_OPTIONS,positive,,
Review-g188636-d4080718_2,1,RESTAURANT#GENERAL,positive,,
Review-g188636-d4080718_2,1,SERVICE#GENERAL,positive,,
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:1,"Wij kwamen hier gisteren met 2 met een Grouponbon, menu met fles wijn en halve liter water."
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:2,De ontvangst was zéér vriendelijk en hartelijk.
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:3,"Het voorgerecht was héél lekker, de hoofdschotel ook."
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:4,Verschillende superlekkere gerechtjes met rijst apart.
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:5,Heel veel groenten.
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:6,Zeker voldoende voor 2 pers. enig minmuntje: wat weinig kip en scampi's.
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:7,Het nagerechtje was wat taai en geen verse chocoladesaus.
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:8,Maar je moet wel prijs/kwaliteit voor ogen houden he...
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:9,Bediening SUPER vriendelijk.
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:10,"Ik was een beetje bang na het lezen van andere reacties, ik kan ze alleen ongelijk geven."
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:11,"De kaart is zéér uitgebreid, wij komen zeker en vast terug!"
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:12,"Er zou juist een nieuwe eigenaar zijn, vandaar misschien het positieve dat hij betracht."
Review-g188636-d4080718_2,1,,,Review-g188636-d4080718_2:13,Wij wensen hem héél veel succes!
Review-g188636-d4080718_1,2,AMBIENCE#GENERAL,positive,,
Review-g188636-d4080718_1,2,FOOD#STYLE_OPTIONS,neutral,,
Review-g188636-d4080718_1,2,RESTAURANT#GENERAL,positive,,
Review-g188636-d4080718_1,2,RESTAURANT#PRICES,positive,,
Review-g188636-d4080718_1,2,,,Review-g188636-d4080718_1:1,"Leuk ingericht, genoeg keuze, goed prijs/kwaliteitverhouding."
Review-g188636-d4080718_1,2,,,Review-g188636-d4080718_1:2,Wij zijn er rond 21u nog binnen gevallen dus er was weinig volk aanwezig.
Review-g641832-d2274858_4,3,DRINKS#QUALITY,positive,,
Review-g641832-d2274858_4,3,DRINKS#STYLE_OPTIONS,neutral,,
Review-g641832-d2274858_4,3,FOOD#QUALITY,positive,,
Review-g641832-d2274858_4,3,FOOD#STYLE_OPTIONS,positive,,
Review-g641832-d2274858_4,3,RESTAURANT#GENERAL,positive,,
Review-g641832-d2274858_4,3,SERVICE#GENERAL,positive,,
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:1,al van bij het binnenkomen voelden wij ons welkom.
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:2,bij de apero volgden verschillende hapjes.
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:3,het voorgerecht en hoofdgerecht waren echt plaatjes.
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:4,het dessert en mignardises bij de koffie zorgden voor de perfecte afsluiter.
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:5,de ongewone wijnen waren werkelijk ontdekkingen.
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:6,Kortom: dit restaurant moet je bezoeken!
Review-g641832-d2274858_4,3,,,Review-g641832-d2274858_4:7,een dikke proficiat aan het hele Boury team!
Review-g641832-d2274858_2,4,FOOD#QUALITY,negative,,
Review-g641832-d2274858_2,4,RESTAURANT#GENERAL,negative,,
Review-g641832-d2274858_2,4,RESTAURANT#PRICES,negative,,
Review-g641832-d2274858_2,4,SERVICE#GENERAL,conflict,,
Review-g641832-d2274858_2,4,,,Review-g641832-d2274858_2:1,"Gisteren gaan eten bij Boury, sorry maar begrijp niet dat dit een ster verdiend, de bediening van de zaakvoerster laat alles te wensen over, een lach kan er niet af en de gerechten die warm dienden te hebben waren koud, een peperdure rekening en niet goed gegeten een snak en een snauw bij het afrekenen sorry hoor maar als je deze prijs betaald, denk toch dat sommige mensen dienen hun mening te herzien dit is geen restaurant maar voor mij een bistro, personeel was wel vriendelijk en excuseren zich aan tafel voor het gedrag van hun oversten, dit kan ik echt niet aanraden"
Review-g188636-d4562380_2,5,DRINKS#QUALITY,positive,,
Review-g188636-d4562380_2,5,FOOD#QUALITY,positive,,
Review-g188636-d4562380_2,5,RESTAURANT#GENERAL,positive,,
Review-g188636-d4562380_2,5,RESTAURANT#PRICES,positive,,
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:1,De smaaknatie is echt eens iets anders!
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:2,Leuk adres voor n lunch maar ook voor iets lekkers te halen om thuis te eten of n lekker glas wijn te drinken met n assortimentje kaas erbij!
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:3,De eigenaar doet alles alleen dus hij heeft zijn handen vol!
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:4,Daarom zin de prijzen ook zeer democratisch!
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:5,Alles wordt op nog artisanale wijze bereid!
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:6,"Probeer ook eens een van de zalige taarten of quiches, ze zijn om de vingers bij af te likken!"
Review-g188636-d4562380_2,5,,,Review-g188636-d4562380_2:7,"Kortom, een absolute aanrader!"
