/Reviews,,,,,,
/Review/@rid,/Review/#id,/Review/Opinions/Opinion/@category,/Review/Opinions/Opinion/@polarity,/Review/sentences/sentence/@id,/Review/sentences/sentence/Opinions,/Review/sentences/sentence/text
es_la-scala-zaragoza_comment-4006,1,RESTAURANT#GENERAL,negative,,,
es_la-scala-zaragoza_comment-4006,1,FOOD#QUALITY,negative,,,
es_la-scala-zaragoza_comment-4006,1,,,es_la-scala-zaragoza_comment-4006:0,,"En Zaragoza hay Restaurantes correctos, buenos, muy buenos,Restaurantes a los que no vuelves, los que pasan desapercibidos, mediocres y pésimos como por ejemplo La Scala."
es_la-scala-zaragoza_comment-4006,1,,,es_la-scala-zaragoza_comment-4006:1,,Afirmar que en ese local se pueden degustar verdaderas delicias es una auténtica temeridad.
es_la-scala-zaragoza_comment-4006,1,,,es_la-scala-zaragoza_comment-4006:2,,Para olvidar.
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,RESTAURANT#GENERAL,positive,,,
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,FOOD#QUALITY,positive,,,
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,SERVICE#GENERAL,positive,,,
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:0,,"Fui, una vez más, con un amigo a comer al Restaurante Barceloneta."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:1,,Nunca defrauda.
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:2,,"Productos de calidad óptima, elaborados magníficamente."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:3,,"Siempre es igual de excelente, con un servicio impecable."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:4,,"Un Jefe de Sala que siempre recuerda y saluda a los cliente habituales, aunque hayan pasado meses desde la última vez que visitaron el restaurante."
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:5,,Un valor seguro.
es_barceloneta_8_AntonioSerranoPueyo_2015-05-30,2,,,es_barceloneta_8_AntonioSerranoPueyo_2015-05-30:6,,"Un ""Blue chip"" de la restauración."
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,RESTAURANT#GENERAL,positive,,,
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,SERVICE#GENERAL,positive,,,
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,AMBIENCE#GENERAL,positive,,,
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,FOOD#QUALITY,positive,,,
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,,,es_l_olive_22_IsabelSanchezSanchdez_2012-01-07:0,,Es muy buen restaurante.
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,,,es_l_olive_22_IsabelSanchezSanchdez_2012-01-07:1,,Ya habiamos estado en el anterior en la calle muntaner.
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,,,es_l_olive_22_IsabelSanchezSanchdez_2012-01-07:2,,"Este es mucho mas elegante, el trato muy correcto y la ambientacion te hace sentir muy a gusto."
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,,,es_l_olive_22_IsabelSanchezSanchdez_2012-01-07:3,,La comida de calidad.
es_l_olive_22_IsabelSanchezSanchdez_2012-01-07,3,,,es_l_olive_22_IsabelSanchezSanchdez_2012-01-07:4,,Recomiendo los calçots rebozados.
